timestamp,time_took,temp,compass,acc_z,acc_y,acc_x
1602997771073,64,29,74,-1016,188,152
1602997771144,71,29,74,-1020,192,144
1602997771211,67,29,75,-1012,196,144
1602997771285,74,29,75,-1008,196,144
1602997771428,143,29,74,-1008,196,148
1602997771495,67,29,74,-1008,188,164
1602997771562,67,29,74,-1012,184,156
1602997771632,70,29,74,-1012,196,148
1602997771699,67,29,74,-1008,200,156
1602997771867,168,29,74,-1016,180,156
1602997771929,62,29,74,-1008,192,160
1602997771998,69,29,73,-1004,184,156
1602997772061,63,29,74,-1008,196,156
1602997772133,72,29,74,-1012,188,152
1602997772287,154,29,74,-1008,192,156
1602997772358,71,29,75,-1004,176,164
1602997772426,68,29,75,-1008,192,172
1602997772494,68,29,75,-1008,196,164
1602997772562,68,29,75,-1004,188,156
1602997772731,169,29,75,-1020,188,164
1602997772797,66,29,75,-1008,184,172
1602997772864,67,29,75,-1016,192,168
1602997772930,66,29,74,-1008,188,160
1602997773000,70,29,74,-1004,188,164
1602997773144,144,29,74,-1004,184,168
1602997773214,70,29,75,-1012,188,164
1602997773282,68,29,74,-1012,192,156
1602997773352,70,29,74,-1004,188,160
1602997773418,66,29,74,-1012,188,164
1602997773593,175,29,76,-1008,188,176
1602997773660,67,29,76,-1016,192,168
1602997773726,66,29,75,-1016,192,168
1602997773792,66,29,74,-1008,188,168
1602997773863,71,29,74,-1008,188,164
1602997774040,177,29,74,-1008,192,172
1602997774112,72,29,75,-1008,192,168
1602997774178,66,29,75,-1016,192,172
1602997774249,71,29,75,-1004,188,172
1602997774316,67,29,75,-1012,188,172
